gene_id,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc01g108600,"Presequence protease, mitochondrial  IPR013578  Peptidase M16C associated",1.0897473127908446,True,1.089992491667977,3.47489696774158e-13,5.58497002699588e-12,,,,,,True,False
Solyc01g108630,Nitrite reductase  IPR006067  Nitrite and sulphite reductase 4Fe-4S region,-0.43486659831716157,True,,,,,,,,,False,False
Solyc01g108660,N-acetyl-gamma-glutamyl-phosphate reductase  IPR000706  N-acetyl-gamma-glutamyl-phosphate reductase,0.23660365567165964,True,,,,,,,,,False,False
Solyc01g108840,"Receptor like kinase, RLK",-0.24328031104694484,True,,,,,,,,,False,False
Solyc01g108880,1-aminocyclopropane-1-carboxylate oxidase  IPR005123  Oxoglutarate and iron-dependent oxygenase,1.9369859794187012,True,1.9365997664515704,1.47517710282586e-14,4.60048213681273e-13,,,,,,True,False
Solyc01g108890,Potential GTPase activation protein,-0.741292115888376,True,-0.7411993098126023,3.74055573102343e-11,2.83186195377651e-10,3.0,0.7829131631412755,0.7829131631412755,7.95425771655323e-08,Solyc01g108890.2.1_S306;Solyc01g108890.2.1_S87;Solyc01g108890.2.1_T233,True,True
Solyc01g108910,COSII_At2g15890 (Fragment),-0.7103770757396344,True,-0.7143239207126639,4.67920160515984e-08,1.52731339943667e-07,,,,,,True,False
Solyc01g108920,Serine_threonine-protein kinase Sgk3  IPR001683  Phox-like,-0.11680133329237015,True,,,,3.0,0.9773008898072529,0.9773008898072529,2.39438977102992e-08,Solyc01g108920.2.1_S537;Solyc01g108920.2.1_T92,False,True
Solyc01g109080,"Protein kinase  IPR000403  Phosphatidylinositol 3- and 4-kinase, catalytic",-0.3671103575347229,True,,,,,,,,,False,False
Solyc01g109130,"Proteasome assembly chaperone 2  IPR016562  20S proteasome assembly chaperone 2, subgroup",0.3858774990413284,True,,,,,,,,,False,False
Solyc01g109170,Cold acclimation protein COR413-like  IPR008892  Cold acclimation WCOR413,1.4289570829696192,True,1.4279497585638932,1.67930605317139e-13,3.05228470359659e-12,,,,,,True,False
Solyc01g109180,Long-chain-fatty-acid-CoA ligase  IPR000873  AMP-dependent synthetase and ligase,-1.7567143069744473,True,-1.7565794506389918,4.28476347236573e-15,1.78793322734209e-13,,,,,,True,False
Solyc01g109260,At2g16070_F7H1.9,-0.16400111785907853,True,,,,2.0,0.6993251526553006,0.6993251526553006,5.9902221690368e-06,Solyc01g109260.2.1_S155;Solyc01g109260.2.1_S188,False,True
Solyc01g109290,Methyltransferase  IPR013216  Methyltransferase type 11,0.5011536456399968,True,,,,,,,,,False,False
Solyc01g109300,4-hydroxy-3-methylbut-2-enyl diphosphate reductase  IPR003451  LytB protein,1.247997057890181,True,1.247813001870398,1.5487149947133e-15,7.95663518671208e-14,,,,,,True,False
Solyc01g109350,WD-40 repeat-containing protein  IPR013535  PUL,0.17486319410832699,True,,,,,,,,,False,False
Solyc01g109360,"Tyrosyl-tRNA synthetase  IPR016485  Tyrosine tRNA ligase, archaeal_eukaryotic",0.10654692362937652,True,,,,,,,,,False,False
Solyc01g109400,Flavoprotein wrbA  IPR010089  Flavoprotein WrbA,0.12013660493169731,True,,,,2.0,0.7641356458398569,0.7641356458398569,1.56436294254171e-05,Solyc01g109400.2.1_S34,False,True
Solyc01g109410,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit  IPR005013  Dolichyl-diphosphooligosaccharide-protein glycosyltransferase 48kDa subunit,-0.4256415779015727,True,,,,,,,,,False,False
Solyc01g109420,Flavoprotein wrbA  IPR010089  Flavoprotein WrbA,0.44650711607054105,True,,,,7.0,1.3042086763036005,1.3042086763036005,1.85115038551939e-07,Solyc01g109420.2.1_S19;Solyc01g109420.2.1_S19;S32;Solyc01g109420.2.1_S25;Solyc01g109420.2.1_S25;S32;Solyc01g109420.2.1_S32,False,True
Solyc01g109510,Subunit of the SWI_SNF chromatin remodeling complex  IPR007526  SWIRM,-0.867888143383293,True,-0.8675485063447488,1.6300883914238e-11,1.40936046916096e-10,14.0,1.6884784997508655,1.6884784997508655,7.17482311448793e-10,Solyc01g109510.2.1_S670;Solyc01g109510.2.1_S676;Solyc01g109510.2.1_S765;Solyc01g109510.2.1_S96;Solyc01g109510.2.1_T10;Solyc01g109510.2.1_T292;Solyc01g109510.2.1_T703;Solyc01g109510.2.1_T734;Solyc01g109510.2.1_T734;S737;Solyc01g109510.2.1_T742,True,True
Solyc01g109520,"Ras-related protein Rab-7  IPR002078  RNA polymerase sigma factor 54, interaction",0.562428321051938,True,,,,,,,,,False,False
Solyc01g109540,"Coatomer subunit gamma  IPR017106  Coatomer, gamma subunit",-0.4210564442279623,True,,,,1.0,0.9442460494738939,0.9442460494738939,4.14163349573143e-07,Solyc01g109540.2.1_T606,False,True
Solyc01g109560,"Guanine nucleotide-binding protein subunit beta  IPR016346  Guanine nucleotide-binding protein, beta subunit",-0.06264442006651204,True,,,,,,,,,False,False
